iter	Passed	Remaining
472	687	766
473	688	764
474	689	762
475	690	760
476	691	758
477	692	756
478	694	754
479	695	753
480	696	751
481	697	749
482	698	747
483	699	745
484	700	743
485	701	741
486	702	740
487	703	738
488	704	736
489	705	734
490	706	732
491	707	731
492	709	729
493	710	727
494	711	725
495	712	723
496	713	721
497	714	719
498	715	718
499	716	716
500	717	714
501	718	713
502	719	711
503	720	709
504	721	707
505	722	705
506	723	703
507	724	702
508	725	700
509	726	698
510	728	696
511	729	695
512	730	693
513	731	691
514	732	689
515	733	688
516	734	686
517	735	684
518	736	682
519	737	681
520	738	679
521	739	677
522	740	675
523	742	674
524	743	672
525	744	670
526	745	668
527	746	667
528	747	665
529	748	663
530	749	662
531	750	660
532	751	658
533	752	656
534	753	655
535	754	653
536	756	651
537	757	650
538	758	648
539	759	647
540	760	645
541	762	643
542	763	642
543	764	640
544	765	639
545	766	637
546	768	636
547	769	634
548	770	633
549	771	631
550	772	629
551	773	628
552	774	626
553	775	624
554	777	623
555	778	621
556	779	620
557	780	618
558	781	616
559	782	614
560	783	613
561	784	611
562	785	610
563	786	608
564	787	606
565	788	604
566	790	603
567	791	601
568	792	600
569	793	598
570	794	597
571	795	595
572	796	593
573	797	592
574	798	590
575	800	588
576	801	587
577	802	585
578	803	583
579	804	582
580	805	580
581	806	579
582	807	577
583	808	576
584	809	574
585	810	572
586	811	571
587	812	569
588	814	568
589	815	566
590	816	564
591	817	563
592	818	561
593	819	559
594	820	558
595	821	556
596	822	555
597	823	553
598	824	552
599	825	550
600	826	548
601	827	547
602	828	545
603	829	544
604	831	542
605	832	540
606	833	539
607	834	537
608	835	536
609	836	534
610	837	533
611	838	531
612	839	530
613	840	528
614	841	526
615	842	525
616	843	523
617	844	522
618	845	520
619	846	519
620	847	517
621	848	515
622	849	514
623	850	512
624	852	511
625	853	509
626	854	508
627	855	506
628	856	505
629	857	503
630	858	502
631	859	500
632	860	499
633	861	497
634	862	495
635	863	494
636	864	492
637	865	491
638	867	489
639	868	488
640	869	487
641	870	485
642	871	483
643	872	482
644	873	480
645	874	479
646	875	477
647	876	476
648	878	474
649	879	473
650	880	471
651	881	470
652	882	468
653	883	467
654	885	466
655	886	464
656	887	463
657	888	461
658	889	460
659	890	458
660	891	457
661	893	455
662	894	454
663	895	452
664	896	451
665	897	450
666	898	448
667	900	447
668	901	445
669	902	444
670	903	443
671	904	441
672	905	440
673	906	438
674	907	437
675	908	435
676	910	434
677	911	432
678	912	431
679	913	430
680	914	428
681	916	427
682	917	425
683	918	424
684	919	423
685	920	421
686	921	420
687	922	418
688	924	417
689	925	415
690	926	414
691	927	412
692	928	411
693	929	409
694	930	408
695	932	407
696	933	405
697	934	404
698	935	402
699	936	401
700	937	399
701	938	398
702	939	396
703	940	395
704	941	394
705	943	392
706	944	391
707	945	390
708	946	388
709	947	387
710	948	385
711	949	384
712	951	382
713	952	381
714	953	379
715	954	378
716	955	377
717	956	375
718	957	374
719	959	373
720	960	371
721	961	370
722	962	368
723	963	367
724	964	365
725	965	364
726	966	363
727	967	361
728	968	360
729	970	358
730	971	357
731	973	356
732	974	354
733	975	353
734	976	352
735	977	350
736	978	349
737	980	347
738	981	346
739	982	345
740	983	343
741	984	342
742	985	340
743	986	339
744	988	338
745	989	336
746	990	335
747	991	334
748	992	332
749	993	331
750	994	329
751	995	328
752	997	327
753	998	325
754	999	324
755	1000	322
756	1001	321
757	1002	320
758	1003	318
759	1004	317
760	1005	315
761	1006	314
762	1007	313
763	1008	311
764	1009	310
765	1010	308
766	1011	307
767	1013	306
768	1014	304
769	1015	303
770	1016	301
771	1018	300
772	1019	299
773	1020	297
774	1021	296
775	1022	295
776	1023	293
777	1024	292
778	1025	291
779	1026	289
780	1027	288
781	1028	286
782	1029	285
783	1031	284
784	1032	282
785	1033	281
786	1034	280
787	1035	278
788	1037	277
789	1038	275
790	1039	274
791	1040	273
792	1041	271
793	1042	270
794	1043	269
795	1044	267
796	1045	266
797	1046	264
798	1048	263
799	1049	262
800	1051	261
801	1052	259
802	1053	258
803	1055	257
804	1056	255
805	1057	254
806	1058	253
807	1059	251
808	1061	250
809	1062	249
810	1063	247
811	1065	246
812	1066	245
813	1067	243
814	1068	242
815	1070	241
816	1071	239
817	1072	238
818	1073	237
819	1074	235
820	1075	234
821	1076	233
822	1077	231
823	1078	230
824	1080	229
825	1081	227
826	1082	226
827	1083	224
828	1084	223
829	1085	222
830	1086	220
831	1087	219
832	1088	218
833	1089	216
834	1090	215
835	1092	214
836	1093	212
837	1094	211
838	1095	210
839	1096	208
840	1097	207
841	1098	206
842	1099	204
843	1100	203
844	1101	202
845	1103	200
846	1104	199
847	1105	198
848	1106	196
849	1107	195
850	1108	194
851	1110	192
852	1111	191
853	1112	190
854	1113	188
855	1114	187
856	1115	186
857	1116	184
858	1117	183
859	1118	182
860	1119	180
861	1120	179
862	1122	178
863	1123	176
864	1124	175
865	1125	174
866	1126	172
867	1128	171
868	1129	170
869	1130	168
870	1131	167
871	1132	166
872	1133	164
873	1134	163
874	1135	162
875	1136	160
876	1138	159
877	1139	158
878	1140	156
879	1141	155
880	1142	154
881	1143	152
882	1144	151
883	1145	150
884	1146	148
885	1147	147
886	1148	146
887	1149	144
888	1150	143
889	1151	142
890	1153	141
891	1154	139
892	1155	138
893	1156	137
894	1157	135
895	1158	134
896	1159	133
897	1160	131
898	1161	130
899	1162	129
900	1163	127
901	1164	126
902	1166	125
903	1167	123
904	1168	122
905	1169	121
906	1170	120
907	1171	118
908	1172	117
909	1173	116
910	1175	114
911	1176	113
912	1177	112
913	1178	110
914	1179	109
915	1180	108
916	1181	106
917	1182	105
918	1183	104
919	1184	103
920	1186	101
921	1187	100
922	1188	99
923	1189	97
924	1190	96
925	1191	95
926	1192	93
927	1193	92
928	1194	91
929	1195	89
930	1196	88
931	1197	87
932	1199	86
933	1200	84
934	1201	83
935	1202	82
936	1203	80
937	1204	79
938	1205	78
939	1206	76
940	1207	75
941	1208	74
942	1209	73
943	1210	71
944	1211	70
945	1212	69
946	1213	67
947	1214	66
948	1215	65
949	1216	64
950	1218	62
951	1219	61
952	1220	60
953	1221	58
954	1222	57
955	1223	56
956	1224	55
957	1225	53
958	1226	52
959	1227	51
960	1228	49
961	1230	48
962	1231	47
963	1232	46
964	1233	44
965	1234	43
966	1235	42
967	1236	40
968	1237	39
969	1238	38
970	1239	37
971	1240	35
972	1241	34
973	1242	33
974	1243	31
975	1244	30
976	1246	29
977	1247	28
978	1248	26
979	1249	25
980	1250	24
981	1251	22
982	1252	21
983	1253	20
984	1254	19
985	1255	17
986	1257	16
987	1258	15
988	1259	14
989	1260	12
990	1261	11
991	1262	10
992	1263	8
993	1264	7
994	1265	6
995	1266	5
996	1268	3
997	1268	2
998	1269	1
999	1271	0
