iter	Passed	Remaining
149	326	1852
150	328	1845
151	329	1837
152	330	1830
153	331	1822
154	332	1815
155	334	1807
156	335	1799
157	336	1791
158	337	1783
159	338	1775
160	339	1768
161	340	1760
162	341	1753
163	342	1747
164	343	1740
165	344	1733
166	346	1727
167	347	1720
168	348	1713
169	349	1706
170	350	1700
171	351	1693
172	352	1686
173	353	1680
174	354	1673
175	356	1668
176	357	1661
177	358	1655
178	359	1649
179	360	1643
180	361	1634
181	362	1628
182	363	1622
183	364	1616
184	365	1610
185	366	1605
186	367	1599
187	368	1593
188	370	1588
189	371	1583
190	372	1578
191	373	1573
192	375	1568
193	376	1563
194	377	1558
195	378	1552
196	379	1547
197	380	1541
198	381	1536
199	382	1531
200	383	1525
201	385	1521
202	386	1516
203	387	1511
204	388	1506
205	389	1501
206	390	1497
207	392	1492
208	393	1487
209	394	1482
210	395	1478
211	396	1473
212	397	1468
213	398	1464
214	399	1459
215	400	1454
216	401	1450
217	402	1445
218	404	1440
219	405	1436
220	406	1432
221	407	1427
222	408	1423
223	409	1418
224	410	1413
225	411	1409
226	412	1405
227	413	1401
228	414	1396
229	415	1392
230	417	1388
231	418	1384
232	419	1379
233	420	1376
234	421	1372
235	422	1368
236	423	1363
237	424	1359
238	425	1355
239	426	1351
240	427	1347
241	428	1343
242	429	1339
243	431	1335
244	432	1331
245	433	1327
246	434	1323
247	435	1320
248	436	1316
249	437	1312
250	438	1308
251	439	1305
252	440	1301
253	442	1298
254	443	1294
255	444	1290
256	445	1287
257	446	1283
258	447	1280
259	448	1276
260	449	1272
261	450	1269
262	451	1266
263	452	1262
264	454	1259
265	455	1256
266	456	1253
267	457	1249
268	458	1246
269	459	1242
270	460	1239
271	461	1235
272	462	1232
273	463	1229
274	465	1226
275	466	1223
276	467	1219
277	468	1216
278	469	1213
279	470	1210
280	471	1207
281	473	1204
282	474	1201
283	475	1197
284	476	1194
285	477	1191
286	478	1188
287	479	1185
288	480	1182
289	481	1179
290	482	1176
291	484	1173
292	485	1170
293	486	1167
294	487	1164
295	488	1161
296	489	1158
297	490	1155
298	491	1152
299	492	1149
300	493	1146
301	494	1143
302	496	1141
303	497	1138
304	498	1135
305	499	1132
306	500	1129
307	501	1126
308	502	1123
309	503	1120
310	504	1118
311	505	1115
312	506	1112
313	507	1109
314	508	1106
315	510	1104
316	511	1101
317	512	1099
318	513	1096
319	514	1093
320	515	1090
321	516	1088
322	517	1085
323	518	1082
324	519	1079
325	521	1077
326	522	1074
327	523	1071
328	524	1069
329	525	1066
330	526	1064
331	527	1061
332	528	1059
333	529	1056
334	530	1053
335	531	1051
336	533	1048
337	534	1046
338	535	1043
339	536	1041
340	537	1038
341	538	1035
342	539	1033
343	541	1031
344	542	1029
345	543	1027
346	544	1024
347	545	1022
348	546	1019
349	547	1016
350	548	1014
351	549	1011
352	550	1009
353	551	1006
354	552	1004
355	554	1002
356	555	1000
357	556	997
358	557	995
359	558	993
360	559	990
361	560	988
362	561	985
363	562	983
364	563	981
365	565	978
366	566	976
367	567	974
368	568	971
369	569	970
370	570	967
371	571	965
372	573	963
373	574	960
374	575	958
375	576	956
376	577	954
377	578	951
378	579	949
379	580	947
380	581	944
381	582	942
382	583	940
383	585	938
384	586	936
385	587	934
386	588	931
387	589	929
388	590	927
389	591	925
390	592	923
391	593	920
392	594	918
393	595	916
394	596	914
395	598	912
396	599	910
397	600	908
398	601	905
399	602	903
400	603	901
401	604	899
402	605	897
403	606	895
404	607	892
405	608	890
406	609	888
407	611	886
408	612	884
409	613	882
410	614	880
411	615	878
412	616	876
413	617	874
414	619	872
415	620	870
416	621	868
417	622	866
418	623	864
419	624	862
420	625	860
421	626	858
422	627	856
423	629	854
424	630	852
425	631	850
426	632	848
427	633	846
428	634	844
429	635	842
430	636	840
431	637	838
432	639	837
433	640	835
434	642	833
435	643	832
436	644	829
437	645	827
438	646	825
439	647	823
440	648	822
441	649	820
442	650	818
443	652	816
444	653	814
445	654	812
446	655	810
447	656	808
448	657	807
449	658	805
450	659	803
451	661	801
452	662	799
453	663	797
454	664	795
455	665	793
456	666	791
457	667	789
458	668	788
459	669	786
460	670	784
461	671	782
462	673	780
463	674	778
464	675	777
465	676	775
466	677	773
467	678	771
468	680	770
469	681	768
470	682	766
